active_fields,context_len,first_step_mae_ratio,is_smoke,last_step_mae_ratio,mae_ratio,mode,model_family,model_mae,model_rmse,naive_mae,naive_rmse,nonreversal_count,nonreversal_mae_ratio,prediction_form,reversal_count,reversal_mae_ratio,rmse_ratio,role,sequence_subsample_factor,stem,tag,window_stride
intensity,4,,true,,1.0355806243736108,next_frame,convlstm,0.010959869250655174,0.014219781289978741,0.010583308525383472,0.013688024706641171,32,1.0355806243736108,delta_from_last_frame,0,nan,1.0388483068035064,train,1,GRA29_C20_25deg_particle3,smoke_image_only_delta,1
intensity,4,,true,,1.0377296554591007,next_frame,convlstm,0.010843443684279919,0.014103227797547935,0.010449199005961418,0.013557983091075941,32,1.0377296554591007,delta_from_last_frame,0,nan,1.040215768290114,train,1,GRA29_C20_25deg_particle4,smoke_image_only_delta,1
intensity,4,1.042600154876709,true,3.021279811859131,1.8829090998512252,rollout,convlstm,0.01782771199941635,0.039247991806735785,0.009468174539506435,0.012182088641701385,16,1.8829090998512252,delta_from_last_frame,0,nan,3.221778543983267,test,1,GRA29_C20_45deg_particle1,smoke_image_only_delta,
intensity,4,1.0567537546157837,true,2.9745569229125977,2.096725972992767,rollout,convlstm,0.01668817363679409,0.03751777392863599,0.007959158159792423,0.010336023433321588,16,2.096725972992767,delta_from_last_frame,0,nan,3.629807359732278,test,1,GRA29_C20_45deg_particle2,smoke_image_only_delta,
intensity,4,1.022512674331665,true,2.4461073875427246,1.6381568841679313,rollout,convlstm,0.018851343542337418,0.04007550505901334,0.011507654562592506,0.014851044169277511,16,1.6381568841679313,delta_from_last_frame,0,nan,2.6984974660514376,test,1,GRA29_C20_45deg_particle3,smoke_image_only_delta,
intensity,4,1.0274367332458496,true,2.2966434955596924,1.583453489562458,rollout,convlstm,0.02039812132716179,0.0414791566319895,0.012882046401500702,0.01656942640658594,16,1.583453489562458,delta_from_last_frame,0,nan,2.503355011462711,test,1,GRA29_C20_45deg_particle4,smoke_image_only_delta,
intensity,4,1.0391569137573242,true,2.836834669113159,1.817140942360598,rollout,convlstm,0.018989745527505875,0.03957613379691191,0.010450342670083046,0.013485595817385669,16,1.817140942360598,delta_from_last_frame,0,nan,2.9346967188420585,train,1,GRA29_C20_25deg_particle1,smoke_image_only_delta,
intensity,4,1.030495285987854,true,2.6552624702453613,1.7767509796529861,rollout,convlstm,0.01798803173005581,0.03935113307933663,0.010124115273356438,0.01327989646732283,16,1.7767509796529861,delta_from_last_frame,0,nan,2.9632108334704244,train,1,GRA29_C20_25deg_particle2,smoke_image_only_delta,
intensity,4,1.0266433954238892,true,2.2423596382141113,1.6064389622041517,rollout,convlstm,0.02008720487356186,0.04103903301170055,0.012504181824624538,0.016361814236554695,16,1.6064389622041517,delta_from_last_frame,0,nan,2.508220202134634,train,1,GRA29_C20_25deg_particle3,smoke_image_only_delta,
intensity,4,1.029078722000122,true,2.1098382472991943,1.5674245144359127,rollout,convlstm,0.02082809992134571,0.04126714465502076,0.013288103975355625,0.017693547118410268,16,1.5674245144359127,delta_from_last_frame,0,nan,2.3323273947755783,train,1,GRA29_C20_25deg_particle4,smoke_image_only_delta,
intensity,4,,false,,0.8269669005108488,next_frame,predrnn,0.008457676507532597,0.019463274804097652,0.010227345861494541,0.0214251853006726,2989,0.8269731468373749,delta_from_last_frame,11,0.8254042112595124,0.9084297069527162,test,1,GRA29_C20_45deg_particle1,image_only_delta,1
intensity,4,,false,,0.8358154061620529,next_frame,predrnn,0.008995035663247108,0.026948149021358805,0.0107619883492589,0.028179025914321157,2989,0.8358302854051972,delta_from_last_frame,11,0.8321716814213217,0.9563193952585566,test,1,GRA29_C20_45deg_particle2,image_only_delta,1
intensity,4,,false,,0.8146740954196282,next_frame,predrnn,0.01051811408251524,0.035743416181405606,0.01291082426905632,0.037369581270677875,2989,0.8146786529998671,delta_from_last_frame,11,0.8135312849999996,0.9564842571423662,test,1,GRA29_C20_45deg_particle3,image_only_delta,1
intensity,4,,false,,0.8324243778269746,next_frame,predrnn,0.012306470423936844,0.03901230448020237,0.01478388998657465,0.04022971706140014,2989,0.832249460300417,delta_from_last_frame,11,0.8768076569471561,0.9697384751839117,test,1,GRA29_C20_45deg_particle4,image_only_delta,1
intensity,4,,false,,0.7926100676017901,next_frame,predrnn,0.007912356406450272,0.011275000368000856,0.009982659481465816,0.014005393854705325,2989,0.7926575132666712,delta_from_last_frame,11,0.7824006398916563,0.8050470043877308,train,1,GRA29_C20_25deg_particle1,image_only_delta,1
