tag,stem,mode,observable,phase,n_steps,slope_true_per_s,slope_pred_per_s,slope_naive_per_s
predrnnpp_image_only_delta,GRA29_C20_25deg_particle2,next_frame,bright_frac90,negative_current,2438,1.2801610168564676e-05,1.2862200729171386e-05,1.2800472338084111e-05
predrnnpp_image_only_delta,GRA29_C20_25deg_particle3,next_frame,mean,positive_current,511,-3.2864755382220996e-05,-3.258914959710682e-05,-3.268168609922487e-05
predrnnpp_image_only_delta,GRA29_C20_25deg_particle3,next_frame,mean,negative_current,2438,3.552622182790272e-05,3.550945961585763e-05,3.5509250746936345e-05
predrnnpp_image_only_delta,GRA29_C20_25deg_particle3,next_frame,p95,positive_current,511,-3.437143730079904e-05,-3.3747228033426994e-05,-3.398275132352971e-05
predrnnpp_image_only_delta,GRA29_C20_25deg_particle3,next_frame,p95,negative_current,2438,7.96740355193255e-05,7.962828038850399e-05,7.963806696279341e-05
predrnnpp_image_only_delta,GRA29_C20_25deg_particle3,next_frame,bright_frac90,positive_current,511,-5.462551097727779e-06,-5.417898372391489e-06,-5.44525080843098e-06
predrnnpp_image_only_delta,GRA29_C20_25deg_particle3,next_frame,bright_frac90,negative_current,2438,1.0597112172129189e-05,1.0598197432638136e-05,1.0593767470255353e-05
predrnnpp_image_only_delta,GRA29_C20_25deg_particle4,next_frame,mean,positive_current,511,-8.004283920370054e-05,-7.943908862866233e-05,-7.954323266049126e-05
predrnnpp_image_only_delta,GRA29_C20_25deg_particle4,next_frame,mean,negative_current,2438,4.3763509764405723e-05,4.3738611822381515e-05,4.374501713832838e-05
predrnnpp_image_only_delta,GRA29_C20_25deg_particle4,next_frame,p95,positive_current,511,-0.00012368450800351368,-0.00012253216818849507,-0.0001226730371275991
predrnnpp_image_only_delta,GRA29_C20_25deg_particle4,next_frame,p95,negative_current,2438,8.021005037779977e-05,8.020701742238855e-05,8.017504679739006e-05
predrnnpp_image_only_delta,GRA29_C20_25deg_particle4,next_frame,bright_frac90,positive_current,511,-1.3462353088974589e-05,-1.3353104122679771e-05,-1.3390941584308185e-05
predrnnpp_image_only_delta,GRA29_C20_25deg_particle4,next_frame,bright_frac90,negative_current,2438,1.267520842172804e-05,1.2708561477528e-05,1.2671130657177407e-05
predrnnpp_image_only_delta,GRA29_C20_45deg_particle1,next_frame,mean,positive_current,130,-1.7984515289979894e-06,-1.3647347215346416e-06,-1.7995116806573049e-06
predrnnpp_image_only_delta,GRA29_C20_45deg_particle1,next_frame,mean,negative_current,2794,3.085781048692451e-05,3.086433816780489e-05,3.083991999956615e-05
